paper, title, mission/instruments, models, manually reviewed, CMR datasets
AI5SBBH6,2017_Sato_Frequency spectra and vertical profiles of wind fluctuations in the summer.pdf,'aura/mls'(4); 'aura/mls----level 2'(1), ,ML2T,ML2T
SUXEIKEV,2016_Hubert_Ground-based assessment of the bias and long-term stability of 14 limb and.pdf,'aura/mls'(45); 'uars/mls'(28); 'uars/haloe'(9); 'meteor-3m/sage iii'(1); 'erbs/sage ii'(1), 'merra'(5),UARHA2FN;UARHA3AT;UARML3AT;UARML3AL;ML2O3,ML2T;ML2CO;ML2O3;ML2GPH;UARHA2FN;GozMmlpO3;UARML3AL
RNHI49ZG,2015_Tukiainen_GOMOS bright limb ozone data set.pdf,'aura/mls'(2), ,ML2O3,
PQPLZX3X,2009_Kishore_Global temperature estimates in the troposphere and stratosphere.pdf,'aura/mls'(2), ,ML2T,
VGGWN59M,2019_Pérez‐Invernón_Global Occurrence and Chemical Impact of Stratospheric Blue Jets Modeled With.pdf,'aura/mls'(7); 'aura/omi'(1), 'geos-chem'(1),ML2N2O,ML2N2O
HDPPX4GX,2008_Kinnison_Global observations of HNO sub3-sub from the High Resolution Dynamics Limb.pdf,'aura/mls'(18); 'aura/hirdls'(16); 'aura/omi'(1); 'uars/mls'(1), ,HIRDLS2;ML2HNO3,ML2HNO3;H3ZFCHNO3
YTZKCHJH,2010_Yan_Global observations of gravity waves from High Resolution Dynamics Limb Sounder.pdf,'aura/hirdls'(1); 'aura/mls'(1), ,HIRDLS2;ML2IWC,
5JEGQ2RV,2017_Choi_Global O sub3-sub –CO correlations in a chemistry and transport model.pdf,'aura/omi'(1); 'aura/mls'(1), 'merra'(45); 'geos-5'(6); 'geos-chem'(2),OMTO3d;OMTO3e;ML2O3;TOMSEPL3,
27J8B4NU,2008_Alexander_Global estimates of gravity wave momentum flux from High Resolution Dynamics.pdf,'uars/mls'(3); 'aura/hirdls'(1), ,HIRDLS2;UARML3AT;UARML3AL;AIRX3STD;AIRS3STD,UARML3AL
E2NTYU89,2009_Wespes_Global distributions of nitric acid from IASI-MetOP measurements.pdf,'terra/modis'(1); 'uars/mls'(1); 'aura/mls'(1), ,ML2HNO3;UARML3AT;UARML3AL,
7RH6T8E5,2016_Pancheva_Global distribution and variability of quasi 2 day waves based on the.pdf,'aura/mls'(4), ,ML2GPH,
548TE5LI,2014_Cooper_Global distribution and trends of tropospheric ozone.pdf,, ,OMTO3d;OMTO3e;ML2O3,
F5WNB5LD,2014_Warner_Global carbon monoxide products from combined AIRS TES and MLS measurements on.pdf,'aura/mls'(2); 'aqua/airs'(1), ,AIRX3STD;AIRS3STD;ML2CO,
D5XAMD5N,2007_Liu_Geographical and seasonal distribution of tropical tropopause thin clouds and.pdf,'trmm/pr'(8); 'trmm/virs'(4); 'uars/mls'(4); 'aura/mls'(2); 'uars/haloe'(1), ,ML2IWC;ML2H2O;ML2CO;ML2RHI,
5QGRLN8E,2012_Huang_Geographic and seasonal distributions of CO transport pathways and their roles.pdf,'aura/mls'(5); 'aqua/airs'(1), 'merra'(12),ML2CO,ML2CO
NAREDT9Q,2011_Thiéblemont_Frozen-in anticyclones occurring in polar Northern Hemisphere during springtime.pdf,'aura/mls'(1), ,ML2T;ML2H2O;ML2N2O;ML2O3,
YT6MD4BY,2012_Tang_Five blind men and the elephant.pdf,'aura/hirdls'(10); 'aura/mls'(9); 'aura/omi'(5), ,OMO3PR;ML2O3;HIRDLS2,OMTO3e;ML2O3;H3ZFCO3
T8IS6KH4,2009_Jones_Evolution of stratospheric ozone and water vapour time series studied with.pdf,'noaa-17/sbuv/2'(1); 'noaa-14/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-11/sbuv/2'(1); 'noaa-9/sbuv/2'(1); 'nimbus-7/sbuv'(1); 'aura/mls'(1); 'uars/mls'(1), ,UARHA2FN;UARHA3AT;ML2H2O;ML2O3,
DHLN3XQU,2010_Di Biagio_Evolution of temperature O3 CO and N2O profiles during the exceptional 2009.pdf,'aura/mls'(5); 'aura/mls----level 2'(1), ,ML2O3;ML2N2O;ML2CO,ML2N2O;ML2O3
TWYH8DQW,2010_Robert_First evidence of a 27 day solar signature in noctilucent cloud occurrence.pdf,'aura/mls'(2); 'nimbus-7/sbuv'(1); 'noaa-17/sbuv/2'(1); 'noaa-14/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'noaa-11/sbuv/2'(1); 'noaa-9/sbuv/2'(1), ,ML2H2O;ML2T,
6TV7HCSH,2011_Fadnavis_Evidence of seasonal enhancement of CO in the upper troposphere over India.pdf,'aura/mls'(2), ,ML2CO,
Q27EF44K,2011_Morris_First observations of Southern Hemisphere polar mesosphere winter echoes.pdf,'aura/mls'(3), ,ML2T,ML2T
QBD8EFT8,2011_Verronen_First evidence of mesospheric hydroxyl response to electron precipitation from.pdf,'aura/mls'(6), ,ML2OH;ML2H2O,ML3DBOH
HEERJW5W,2013_Brakebusch_Evaluation of Whole Atmosphere Community Climate Model simulations of ozone.pdf,'aura/mls'(1), ,ML2T;ML2O3;ML2CLO;ML2HCL;ML2H2O;ML2HNO3;ML2N2O,
4D736Q6C,2013_Hoppel_Evaluation of SSMIS Upper Atmosphere Sounding Channels for High-Altitude Data.pdf,'dmsp/ssmis'(4); 'aura/mls'(3), 'geos-5'(1),ML2T,ML2T
JG2SPCGB,2016_Huang_Evaluation of UTLS carbon monoxide simulations in GMI and GEOS-Chem chemical.pdf,'aura/mls'(4), 'geos-chem'(65); 'merra'(4),ML2CO;ML2IWC,ML2CO
QBKJ5G23,2017_Lu_First Observations of Short-Period Eastward Propagating Planetary Waves From.pdf,'aura/mls'(2), 'merra'(1),ML2T,
7VCB322L,2017_Stober_Exceptionally strong summer-like zonal wind reversal in the upper mesosphere.pdf,'aura/mls'(2); 'aura/mls----level 2'(1), ,ML2T;ML2GPH,
F4MGQ24E,2017_Thompson_First Reprocessing of Southern Hemisphere Additional Ozonesondes (SHADOZ) Ozone.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3d;OMTO3e;TOMSEPL3;OMPS_NPP_NMTO3_L3_DAILY,
KP385BU4,2017_Witte_First reprocessing of Southern Hemisphere ADditional OZonesondes (SHADOZ).pdf,'aura/mls'(5); 'ep-toms/toms'(4); 'aura/omi'(4), ,OMTO3;OMTO3d;OMTO3e;TOMSEPL2;TOMSEPL3;ML2O3,OMTO3e;ML2O3;TOMSEPL2
WR4DYPE8,2017_Yi_First observation of mesosphere response to the solar wind high-speed streams.pdf,'aura/mls'(4), ,ML2T,
IELZWMJG,2018_Ball_Evidence for a continuous decline in lower stratospheric ozone offsetting ozone.pdf,'aura/omi'(2); 'aura/mls'(2), ,OMTO3;ML2O3;GozMmlpO3;GozSmlpO3,OMTO3e;ML2O3
YVQP7DWG,2005_Manney_EOS Microwave Limb Sounder observations of the Antarctic polar vortex breakup.pdf,'aura/mls'(3); 'uars/mls'(2), ,ML2N2O;ML2HCl;ML2O3,
EWJ7TVBX,2006_Jiménez_EOS MLS observations of dehydration in the 2004–2005 polar winters.pdf,'uars/mls'(4), ,ML2H2O;ML2T;UARML3AT;UARML3AL,
23U6CG2K,2006_Manney_EOS Microwave Limb Sounder observations of “frozen-in” anticyclonic air in.pdf,, ,ML2N2O;ML2H2O;ML2O3,
VE339VNI,2007_Feng_Equatorial Kelvin waves as revealed by EOS Microwave Limb Sounder observations.pdf,'uars/mls'(5); 'aura/mls'(2), ,ML2T;ML2O3,UARML3AL;ML2O3
53BFGQ9H,2011_Hendricks_Effects of ice nuclei on cirrus clouds in a global climate model.pdf,'aura/mls'(1), ,ML2IWC,
WQU4Z379,2012_Jiang_Evaluation of cloud and water vapor simulations in CMIP5 climate models using.pdf,'aura/mls'(5); 'aqua/airs'(4); 'aqua/modis'(2); 'aqua/amsr-e'(2), ,ML2IWC;ML2H2O;AIRX3STD,MAM05S0;ML2H2O;AIRX3STD
IX8W3AZH,2012_Nakatani_Enhanced Mid-Latitude Tropospheric Column Ozone over East Asia.pdf,'aura/omi'(2); 'aura/mls'(2), ,ML2O3;OMTO3,
B2BR4CJM,2015_Jiang_Evaluating the Diurnal Cycle of Upper-Tropospheric Ice Clouds in Climate Models.pdf,'aura/mls'(8), 'merra'(13); 'geos-5'(1),ML2IWC,
PGBMGFUZ,2015_Katragkou_Evaluation of near-surface ozone over Europe from the MACC reanalysis.pdf,'noaa-17/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMTO3;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2,
2962EUIH,2015_Nath_Equatorial middle atmospheric chemical composition changes during sudden.pdf,'aura/mls'(8), ,ML2O3;ML2H2O;ML2T,ML2T;ML2O3;ML2H2O
MCCQIYFI,2016_Damiani_Energetic particle precipitation.pdf,'aura/mls----level 2'(1); 'aura/mls'(1), 'merra'(1),ML2O3;ML2HNO3,
Y8XH8Z2I,2016_Skachko_EnKF and 4D-Var data assimilation with chemical transport model BASCOE (version.pdf,'aura/mls'(24), ,ML2O3;ML2N2O;ML2H2O;ML2HNO3;ML2HCL,ML2N2O;GozMmlpHCl;ML2O3;ML2HNO3;ML2H2O
D7Q2U4X6,2016_Yi_Estimation of mesopause temperatures at low latitudes using the Kunming meteor.pdf,'aura/mls'(4), ,ML2T,ML2T
NEM7NXEJ,2018_Xie_Effect of the Indo-Pacific Warm Pool on Lower-Stratospheric Water Vapor and.pdf,'aura/mls'(1); 'uars/haloe'(1); 'uars/mls'(1), ,ML2O3;ML2H2O;UARHA2FN;UARHA3AT;UARML3AT;UARML3AL,
JDFZQQQL,2019_Ma_Effects of Arctic stratospheric ozone changes on spring precipitation in the.pdf,'aura/mls'(1), ,GozMmlpO3;GozSmlpO3;GPCPMON;ML2O3;UARHA2FN;UARA3AT,
FBP5UQW5,2013_Reid_Observing and understanding the Southeast Asian aerosol system by remote sensing.pdf,'aqua/modis'(10); 'terra/modis'(9); 'trmm/tmi'(1), ,OMNO2d;ML2CO;OMAERUVd;OMAEROe;MOD08_D3;MYD08_D3;SWDB_L305;MIL3DAE,
VYH57XBM,2013_McLandress_Dynamical Control of the Mesosphere by Orographic and Nonorographic Gravity.pdf,'aura/mls'(2), ,ML2T;ML2CO;ML2GPH,ML2CO;ML2T
9HUZHU8W,2018_Hassler_An updated version of a gap-free monthly mean zonal mean ozone database.pdf,'aura/mls'(2); 'uars/mls'(1), ,ML2O3;UARHA2FN;UARHA3AT,
T9Q8KNTS,2013_France_A climatology of the stratopause in WACCM and the zonally asymmetric elevated.pdf,'aura/mls'(1), ,ML2T;ML2GPH,
7XBYJ78I,2012_France_A climatology of stratopause temperature and height in the polar vortex and.pdf,'aura/mls'(1), ,ML2T;ML2GPH,
W89TPXXF,2014_Uma_A climatological perspective of water vapor at the UTLS region over different.pdf,'aura/mls'(7), ,ML2H2O;ML2T,ML2H2O
9VU3W36W,2010_Haigh_An influence of solar spectral variations on radiative forcing of climate.pdf,'aura/mls'(4); 'sorce/solstice'(1); 'sorce/sim'(1), ,ML2O3,ML2O3
FZSW5ARZ,2016_Xie_A Quantitative Estimation of the Transport of Surface Emissions from Different.pdf,, ,ML2CO,
GQ6GE47T,2016_Dolinar_A clear-sky radiation closure study using a one-dimensional radiative transfer.pdf,'aqua/modis'(2); 'aura/mls'(2); 'aqua/airs'(1), 'merra'(52); 'merra-2'(47),ML2T;ML2H2O;ML2O3;M2I3NPASM;AIRS3STD;AIRS3SPD,
3E7LV4MW,2012_McPeters_Climatology 2011.pdf,'aura/mls'(9); 'uars/mls'(2); 'aura/omi'(2), ,ML2O3;SBUVN07L2,OMTO3e;ML2O3
8UBZNJZ6,2018_Dhomse_Estimates of ozone return dates from Chemistry-Climate Model Initiative.pdf,, ,ML2O3;ML2HCL;ML2CLO;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2,
ELDUMEXE,2017_Miyazaki_Evaluation of ACCMIP ozone simulations and ozonesonde sampling biases using a.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;ML2HNO3;OMNO2,
249K6J59,2017_Herman_Enhanced stratospheric water vapor over the summertime continental United.pdf,'aura/mls'(18), 'merra'(1),ML2H2O,ML2H2O
XRXAHBTC,2018_Venkata Chalapathi_Unusual Changes in Stratospheric Ozone and Water Vapor Over Antarctica and its.pdf,'aura/mls'(1), ,ML2O3;ML2H2O;ML2T;ML2OH;ML2HNO3,
C6BZGJCT,2019_Han_Attribution of the Hemispheric Asymmetries in Trends of Stratospheric Trace.pdf,'aura/mls----level 2'(1); 'aura/mls'(1), ,ML2HCL;ML2N2O,
IH7ZESY2,2016_Strahan_Chemical and dynamical impacts of stratospheric sudden warmings on Arctic ozone.pdf,'aura/mls'(3); 'aura/mls----level 2'(1); 'aura/omi'(1); 'uars/claes'(1); 'uars/haloe'(1), 'merra'(17),ML2N2O;ML2O3;ML2CLO,ML2N2O;ML2O3
TALKAAMX,2012_Ialongo_Ozone zonal asymmetry and planetary wave characterization during Antarctic.pdf,'aura/omi'(1); 'aura/mls'(1), ,OMTO3d;ML2O3,
R8LH2GFV,2011_Minschwaner_Hydroxyl in the stratosphere and mesosphere – Part 1.pdf,'aura/mls'(1), ,ML2OH;ML2O3;ML2H2O,
JLZCHFYS,2010_Liu_Validation of Ozone Monitoring Instrument (OMI) ozone profiles and.pdf,'aura/omi'(3); 'aura/mls'(2), ,ML2O3;OMTO3;OMDOAO3,
DCLYY7FH,2006_Jing_Summertime tropospheric ozone columns from Aura OMI-MLS measurements versus.pdf,'aura/mls'(4); 'aura/omi'(4); 'uars/mls'(1), 'geos-chem'(2),ML2O3;OMTO3d;OMTO3e,OMTO3e;ML2O3
NSVVXI2C,2009_Massart_First steps towards the assimilation of IASI ozone data into the MOCAGE-PALM.pdf,'aura/mls'(2); 'aura/omi'(2); 'uars/haloe'(1), ,ML2O3;OMDOAO3,
HXK4YQAY,2013_Jain_Role of convection in hydration of tropical UTLS.pdf,'aura/mls'(10), ,ML2H2O;ML2T,ML2T;ML2H2O
QSQTDHMN,2019_Hakim_Evaluation of tropospheric ozone and ozone precursors in simulations from the.pdf,'aura/omi'(4); 'aura/mls'(4), 'geos-chem'(1),OMTO3;ML2O3,OMTO3e;ML2O3
8XFSQVXP,2015_Nedoluha_The decrease in mid-stratospheric tropical ozone since 1991.pdf,'aura/mls'(2), ,UARHA2FN;UARHA3AT;ML2O3;ML2N2O,ML2O3
LAFMLDJA,2008_Englert_First results from the Spatial Heterodyne Imager for Mesospheric Radicals.pdf,'aura/mls'(2), ,ML2H2O;ML2OH,ML3DBOH
U4FHZ22K,2012_Gu_Dust aerosol impact on North Africa climate.pdf,'aura/mls'(1); 'aqua/modis'(1), ,ML2IWC,
GN6ZVHCN,2014_Eckert_Drift-corrected trends and periodic variations in MIPAS IMK-IAA ozone.pdf,'aura/mls'(47); 'uars/mls'(2), ,ML2O3,GozMmlpO3;ML2O3
7GW8GM3V,2010_Eriksson_Diurnal variations of humidity and ice water content in the tropical upper.pdf,'aura/mls'(13); 'trmm/virs'(1); 'trmm/pr'(1), ,ML2RHI;ML2IWC,ML2RHI
7WIYIUZU,2018_Schranz_Diurnal variation in middle-atmospheric ozone observed by ground-based.pdf,'uars/mls'(1), ,ML2O3,
SYY76RCD,2011_David_Distribution of ozone and its precursors over Bay of Bengal during winter 2009.pdf,'aura/omi'(2); 'aura/mls'(1); 'aqua/modis'(1), ,ML2O3;OMTO3e;OMTO3d;OMNO2d,
P6PMXKJS,2013_Su_Diagnosis of regime-dependent cloud simulation errors in CMIP5 models using.pdf,'aqua/airs'(1); 'aqua/amsr-e'(1), ,AIRS3STD;AIRS2RET,
NGGQEMBZ,2013_Barré_Diagnosing the transition layer at extratropical latitudes using MLS O.pdf,'aura/mls'(2), ,ML2O3;AIRS3STD,ML2O3
FWEQ7PQG,2015_Zhu_Development of a Polar Stratospheric Cloud Model within the Community Earth.pdf,'aura/mls'(4); 'uars/mls'(1), 'geos-5'(1),ML2HNO3;ML2HCL;ML2H2O;ML2O3;ML2T,ML2T
W2GQ8VQV,2017_Chipperfield_Detecting recovery of the stratospheric ozone layer.pdf,'aura/mls'(1), 'merra'(1),ML2O3;GozMmlpHCl;GozMmlpO3,
YDLXBUA2,2017_Khosrawi_Denitrification dehydration and ozone loss during the 2015-2016 Arctic winter.pdf,'aura/mls'(34); 'uars/mls'(1), ,ML2CLO;ML2HNO3;ML2O3;ML2T,ML2T;ML2CLO;ML2O3;ML2HNO3;ML2H2O
CA24LD5Q,2011_Khosrawi_Denitrification and polar stratospheric cloud formation during the Arctic.pdf,'aura/mls'(15); 'uars/mls'(4), 'gdas'(4); 'geos-5'(2),ML2HNO3;UARML3AT;UARML3AL,ML2HNO3;GozMmlpHNO3
XRJSZ6PJ,2018_Strahan_Decline in Antarctic Ozone Depletion and Lower Stratospheric Chlorine.pdf,'aura/mls'(1), 'merra'(8),ML2O3;ML2N2O;ML2HCL,
TKE9RE65,2015_Inness_Data assimilation of satellite-retrieved ozone carbon monoxide and nitrogen.pdf,'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'aura/omi'(1); 'aura/mls'(1), ,OMNO2d;OMTO3d;ML2O3;SBUV2N16L3zm;SBUV2N17L3zm;SBUV2N18L3zm,
53ADKVML,2015_de Wit_Coupling in the middle atmosphere related to the 2013 major sudden.pdf,'aura/mls'(2); 'uars/windii'(1); 'uars/mls'(1); 'aura/mls----level 2'(1), ,ML2T,ML2T
B5EGTRJR,2019_Macotela_D‐Region High‐Latitude Forcing Factors.pdf,'aura/mls'(2), ,ML2T,
2SI4C4QF,2018_Zülicke_Coupling of Stratospheric Warmings with Mesospheric Coolings in Observations.pdf,'aura/mls'(3); 'aura/mls----level 2'(1), 'merra'(2),ML2T,
QWEZL4KM,2019_Das_Upper tropospheric ozone transport from the sub-tropics to tropics over the.pdf,'aura/mls'(8), 'gdas'(1),ML2H2O;ML2O3;ML2CO,ML2O3;ML2H2O
Z7ME64LK,2019_Johansson_Unusual chlorine partitioning in the 2015-16 Arctic winter lowermost.pdf,'aura/mls'(13); 'uars/mls'(1), 'merra'(13); 'merra-2'(13),M2I6NPANA;ML2CH3CL;ML2CLO;ML2HCL;ML2HNO3;ML2O3;ML1OA,GozMmlpHCl
MNFDJB8F,2019_Inness_The CAMS reanalysis of atmospheric composition.pdf,'terra/modis'(2); 'aqua/modis'(2); 'noaa-19/sbuv/2'(1); 'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1); 'noaa-18/sbuv/2'(1); 'aura/omi'(1); 'aura/mls'(1), 'merra'(4); 'merra-2'(1),ML2O3;OMNO2;OMTO3;BUVN04L2;SBUV2N09L2;SBUV2N11L2;SBUV2N14L2;SBUV2N16L2;SBUV2N17L2;SBUV2N18L2;SBUV2N19L2;SBUVN07L2,
F7FJJ4B5,2019_du Preez_Spring and summer time ozone and solar ultraviolet radiation variations over.pdf,'aura/omi'(1); 'aura/mls'(1), ,ML2O3;OMNO2;OMTO3G,
GX8E53NA,2018_Wargan_Recent Decline in Extratropical Lower Stratospheric Ozone Attributed to.pdf,'aura/mls'(3); 'aura/omi'(1), 'merra'(46); 'merra-2'(45),M2I3NVASM;M2IMNPASM,ML2O3
WI8FPDAY,2019_Suleiman_OMI total bromine monoxide (OMBRO) data product.pdf,'aura/omi'(2), ,ML1RADD;OML1BRUG,
ILKCY4X5,2020_Gordon_Evidence for energetic particle precipitation and quasi-biennial oscillation.pdf,'aura/omi'(2); 'aura/mls'(2); 'uars/haloe'(1); 'aura/omi----level 2'(1), ,ML2HNO3;ML2OH;ML2T;OMDOAO3;OMNO2G;OMPIXCORZ;OMTO3G,ML2HNO3;OMI_MINDS_NO2;ML2T;OMNO2d
NLG54M9T,2019_Froidevaux_Evaluation of CESM1 (WACCM) free-running and specified dynamics atmospheric.pdf,'aura/mls'(20); 'uars/mls'(2); 'uars/haloe'(1), 'merra'(9),GozMmlpH2O;GozMmlpO3;GozSmlpHCl;ML2H2O;ML2HCL;ML2HNO3;ML2N2O;ML2O3,ML2T;ML2N2O;GozMmlpHCl;ML2O3;ML2HNO3;GozMmlpO3;ML2H2O
KK5T5FAG,2020_Huijnen_An intercomparison of tropospheric ozone reanalysis products from CAMS CAMS.pdf,'aura/mls'(3); 'aura/omi'(2); 'noaa-19/sbuv/2'(1); 'noaa-14/sbuv/2'(1), ,ML2O3;OMNO2;OMSO2,
89ZPSHKQ,2018_Johansson_Airborne limb-imaging measurements of temperature HNOsub3-sub.pdf,'aura/mls'(8); 'uars/mls'(1), ,ML2HNO3;ML2O3,ML2H2O
LTTW7HBG,2018_Lambert_Accuracy and precision of polar lower stratospheric temperatures from.pdf,'aura/mls'(5); 'aqua/airs'(1), 'merra'(26); 'merra-2'(17); 'geos-5'(10),ML2H2O;ML2HNO3;ML2T,
73GAAR3J,2015_France_A climatology of planetary wave-driven mesospheric inversion layers in the.pdf,'aura/mls'(2), 'merra'(8),ML2T;ML2GPH,
5M28GUHB,2016_Millán_Case studies of the impact of orbital sampling on stratospheric trend detection.pdf,'aura/mls'(2); 'uars/haloe'(1), ,ML2O3;ML2H2O;UARHA3AT;UARHA2FN,
RX4NA754,2017_Wargan_Evaluation of the Ozone Fields in NASA's MERRA-2 Reanalysis.pdf,'uars/mls'(31); 'aura/omi'(8); 'nimbus-7/sbuv'(6); 'aura/mls'(5); 'nimbus-7/toms'(3); 'noaa-11/sbuv/2'(2); 'noaa-14/sbuv/2'(2); 'suomi-npp/atms'(1); 'suomi-npp/cris'(1); 'erbs/sage ii'(1); 'noaa-17/sbuv/2'(1); 'noaa-16/sbuv/2'(1), 'merra'(181); 'merra-2'(167); 'geos-5'(2),UARML3AT;UARML3AL;TOMSEPL2;TOMSEPL3;TOMSN7L2;TOMSN7L3,OMTO3e;MSO3L3zm5;ML2T;ML2O3;GozMmlpO3;TOMSN7L2
A2XKDGYR,2020_Honomichl_Transport From the Asian Summer Monsoon Anticyclone Over the Western Pacific.pdf,'aura/mls'(2), ,ML2CO;ML2H2O;ML2O3,
